state_abbr,latitude,longitude,enrollment
AL,32.630265,-86.325094,632
AL,32.498440,-86.362203,1071
AL,32.628603,-86.029298,689
AL,32.635300,-86.327400,877
AL,32.502850,-86.095015,730
AL,32.516217,-86.345090,536
AL,32.546314,-86.215789,456
AL,32.481950,-86.107104,579
AL,31.297101,-85.873488,571
AL,31.336664,-85.853451,481
AL,31.328129,-85.869911,2177
AL,31.323483,-85.853259,753
AL,31.338446,-85.845896,666
AL,31.305227,-85.837184,350
AL,31.327189,-85.817872,517
AL,31.336200,-85.814500,440
AL,31.290306,-85.840765,657
AL,31.006500,-87.486600,390
AL,31.045897,-87.494653,278
AL,31.006000,-87.269900,559
AL,31.224358,-87.462189,276
AL,31.060087,-87.170727,200
AL,31.090110,-87.054550,370
AL,31.004368,-87.268579,388
AL,31.084000,-87.064800,500
AL,31.084429,-87.066209,386
AL,31.017973,-87.503709,509
AL,31.015567,-87.485658,216
AL,34.118504,-86.118769,343
AL,34.144105,-85.999862,207
AL,34.068314,-85.926840,380
AL,33.958096,-85.932440,397
AL,33.967759,-85.935237,300
AL,33.996206,-85.868913,610
AL,33.995284,-85.870337,253
AL,34.036186,-86.125413,200
AL,33.944668,-86.059859,745
AL,34.081464,-85.989316,216
AL,34.175976,-86.122638,546
AL,33.920376,-86.033827,825
AL,34.063757,-86.302711,370
AL,34.031396,-86.263551,390
AL,34.164819,-86.069178,423
AL,34.013157,-86.003129,1
AL,33.968672,-85.935335,272
AL,33.947200,-86.062100,634
AL,33.916537,-86.020112,585
AL,34.012952,-85.869360,371
AL,34.176744,-86.118641,381
AL,34.068314,-85.926840,290
AL,31.919296,-85.139098,728
AL,31.914297,-85.140271,495
AL,31.887400,-85.159600,623
AL,31.897351,-85.151139,471
AL,31.887547,-85.157708,6104
AL,33.490509,-86.905816,316
AL,33.491187,-86.908318,519
AL,33.459588,-86.927823,275
AL,33.477600,-86.914600,238
AL,33.662904,-87.599017,245
AL,33.688954,-87.825891,318
AL,33.829656,-87.742219,450
AL,33.664637,-87.601249,360
AL,33.687332,-87.825462,529
AL,33.703080,-87.821224,366
AL,34.834449,-87.663939,1101
AL,34.835281,-87.662178,325
AL,34.848357,-87.676257,906
AL,34.832200,-87.682800,426
AL,34.819505,-87.642484,477
AL,34.810501,-87.672245,663
AL,34.821597,-87.695371,489
AL,34.806613,-87.682368,187
AL,34.487696,-85.674157,1106
AL,34.455900,-85.706800,131
AL,34.481144,-85.679272,738
AL,34.491300,-85.668500,741
AL,34.496691,-85.674465,792
AL,34.474883,-87.865283,588
AL,34.384373,-87.599016,212
AL,34.349411,-87.706847,382
AL,34.435400,-88.138100,322
AL,34.525747,-87.621073,541
AL,34.378516,-88.056168,257
AL,34.349444,-87.710332,441
AL,34.525786,-87.619756,410
AL,34.435400,-88.138100,410
AL,33.998522,-85.983531,225
AL,34.002134,-85.965341,252
AL,34.005938,-86.010986,438
AL,33.974241,-86.024115,340
AL,34.023111,-86.037115,339
AL,34.039183,-86.019632,262
AL,34.007967,-86.010343,400
AL,34.010700,-86.056200,218
AL,34.027057,-86.033819,384
AL,34.000464,-85.966921,433
AL,34.039561,-85.969443,288
AL,33.995108,-86.037233,1361
AL,31.043828,-85.881280,369
AL,31.050330,-85.886162,562
AL,31.042604,-85.879821,298
AL,31.095832,-85.700153,234
AL,31.117792,-86.049316,183
AL,31.098483,-85.601606,354
AL,31.124447,-86.045859,361
AL,31.117792,-86.049316,156
AL,31.094854,-85.700284,474
AL,31.095832,-85.700153,178
AL,31.106038,-85.598210,609
AL,31.098483,-85.601606,265
AL,32.823597,-87.931421,250
AL,32.838104,-87.893668,282
AL,32.848018,-87.900021,309
AL,34.358638,-86.312445,381
AL,34.321700,-86.332400,387
AL,34.353494,-86.303432,486
AL,34.320452,-86.313193,556
AL,32.998970,-87.620550,354
AL,33.000134,-87.631042,586
AL,32.707676,-87.587697,215
AL,32.702619,-87.599546,519
AL,32.708370,-87.588282,276
AL,32.999815,-87.620254,243
AL,34.225365,-87.606820,464
AL,34.227429,-87.606769,785
AL,34.227271,-87.609357,348
AL,34.418936,-86.948888,419
AL,34.437845,-86.947540,710
AL,34.457882,-86.922092,452
AL,34.435714,-86.932817,553
AL,34.455413,-86.921392,1027
AL,34.432158,-86.929982,522
AL,31.581818,-85.278317,266
AL,31.566800,-85.249312,338
AL,31.349200,-85.338307,898
AL,31.348694,-85.339264,442
AL,31.357370,-85.337655,580
AL,33.471260,-86.809591,935
AL,33.457336,-86.825571,717
AL,33.460760,-86.790247,1333
AL,33.477392,-86.811082,1000
AL,33.477828,-86.786472,507
AL,31.183743,-85.232220,413
AL,31.056759,-85.301665,379
AL,31.293671,-85.113249,322
AL,31.120963,-85.459741,786
AL,31.260221,-85.270164,419
AL,31.225600,-85.633300,461
AL,31.176574,-85.229809,668
AL,31.120963,-85.459741,408
AL,31.126463,-85.446699,590
AL,31.225920,-85.400933,246
AL,31.225600,-85.633300,636
AL,31.056759,-85.301665,502
AL,31.184054,-85.230289,316
AL,31.126463,-85.446699,761
AL,34.661900,-86.477900,711
AL,34.723632,-86.567116,596
AL,34.759865,-86.636390,400
AL,34.655041,-86.574534,396
AL,34.751596,-86.558816,167
AL,34.765550,-86.571755,458
AL,34.770301,-86.608430,303
AL,34.597190,-86.562975,334
AL,34.642713,-86.576568,1847
AL,34.757900,-86.632400,370
AL,34.713586,-86.583476,1807
AL,34.723735,-86.574998,530
AL,34.696320,-86.554429,471
AL,34.772164,-86.590337,397
AL,34.754963,-86.578303,877
AL,34.689743,-86.616394,511
AL,34.736666,-86.530767,263
AL,34.756009,-86.606461,213
AL,34.625624,-86.547243,341
AL,34.701025,-86.622799,463
AL,34.789202,-86.606924,483
