state,state_abbr,nces_school_id,school_name,district_name,county,latitude,longitude,enrollment,start_time,start_time_raw,school_level,inclusion_status
Oregon,OR,410192001213,FIR GROVE ELEMENTARY SCHOOL,Beaverton School District,Washington County,45.473800,-122.818300,337,07:45,,Elementary,included
Oregon,OR,410192001215,HAZELDALE ELEMENTARY SCHOOL,Beaverton School District,Washington County,45.469200,-122.883200,477,07:45,,Elementary,included
Oregon,OR,410192001216,HITEON ELEMENTARY SCHOOL,Beaverton School District,Washington County,45.454100,-122.819300,486,07:45,,Elementary,included
Oregon,OR,410192001217,KINNAMAN ELEMENTARY SCHOOL,Beaverton School District,Washington County,45.489260,-122.876286,471,07:45,,Elementary,included
Oregon,OR,410192001219,MCKAY ELEMENTARY SCHOOL,Beaverton School District,Washington County,45.465586,-122.778254,242,07:45,,Elementary,included
Oregon,OR,410192001220,MCKINLEY ELEMENTARY SCHOOL,Beaverton School District,Washington County,45.530100,-122.866700,666,07:45,,Elementary,included
Oregon,OR,410192001222,MONTCLAIR ELEMENTARY SCHOOL,Beaverton School District,Washington County,45.475900,-122.751368,281,08:25,,Elementary,included
Oregon,OR,410192001223,OAK HILLS ELEMENTARY SCHOOL,Beaverton School District,Washington County,45.538800,-122.836000,484,07:45,,Elementary,included
Oregon,OR,410192001224,RALEIGH HILLS ELEMENTARY SCHOOL,Beaverton School District,Washington County,45.482400,-122.758300,257,08:15,,Elementary,included
Oregon,OR,410192001225,RALEIGH PARK ELEMENTARY SCHOOL,Beaverton School District,Washington County,45.493400,-122.756400,310,07:45,,Elementary,included
Oregon,OR,410192001226,RIDGEWOOD ELEMENTARY SCHOOL,Beaverton School District,Washington County,45.502500,-122.780400,339,07:45,,Elementary,included
Oregon,OR,410192001227,ROCK CREEK ELEMENTARY SCHOOL,Beaverton School District,Washington County,45.549200,-122.868700,398,07:45,,Elementary,included
